entry_price,min_points,stop_buffer,take_profit,require_external,max_hold_bars,fill_mode,slippage_ticks,split,n_trades,expected_nt,expected_r,total_pnl_nt,mdd_nt,win_rate,profit_factor,max_margin_nt
top,20.0,8.0,opposite_liquidity,True,10000,conservative,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,20.0,8.0,opposite_liquidity,True,10000,optimistic,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,30.0,3.0,2R,False,12,conservative,1,is,2,-38.681799999999996,-1.2893933333333334,-77.36359999999999,88.6656,0.5,0.12746769885953516,35050.0
top,30.0,3.0,2R,False,12,optimistic,1,is,2,-38.681799999999996,-1.2893933333333334,-77.36359999999999,88.6656,0.5,0.12746769885953516,35050.0
top,30.0,3.0,2R,False,24,conservative,1,is,2,-38.681799999999996,-1.2893933333333334,-77.36359999999999,88.6656,0.5,0.12746769885953516,35050.0
top,30.0,3.0,2R,False,24,optimistic,1,is,2,-38.681799999999996,-1.2893933333333334,-77.36359999999999,88.6656,0.5,0.12746769885953516,35050.0
top,30.0,3.0,2R,False,10000,conservative,1,is,2,-38.681799999999996,-1.2893933333333334,-77.36359999999999,88.6656,0.5,0.12746769885953516,35050.0
top,30.0,3.0,2R,False,10000,optimistic,1,is,2,-38.681799999999996,-1.2893933333333334,-77.36359999999999,88.6656,0.5,0.12746769885953516,35050.0
top,30.0,3.0,2R,True,12,conservative,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,30.0,3.0,2R,True,12,optimistic,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,30.0,3.0,2R,True,24,conservative,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,30.0,3.0,2R,True,24,optimistic,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,30.0,3.0,2R,True,10000,conservative,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,30.0,3.0,2R,True,10000,optimistic,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,30.0,3.0,opposite_liquidity,False,12,conservative,1,is,2,-88.6828,-2.9560933333333335,-177.3656,518.7,0.0,0.0,35050.0
top,30.0,3.0,opposite_liquidity,False,12,optimistic,1,is,2,-88.6828,-2.9560933333333335,-177.3656,518.7,0.0,0.0,35050.0
top,30.0,3.0,opposite_liquidity,False,24,conservative,1,is,2,-88.6828,-2.9560933333333335,-177.3656,518.7,0.0,0.0,35050.0
